編號,答案,類近題目
1825,"📌 參考答案
D. 具較少食用纖維的膳食令糞便較硬，因為吸收水分的時間較長。
D. A diet with less dietary fibre makes the faeces harder because the time for water absorption is longer.
📌 詳細解釋
根據圖表顯示，膳食中的食用纖維含量與未能消化物質在大腸內的平均滯留時間呈負關係。
According to the graph, the dietary fibre content in the diet is negatively correlated with the average retention time of undigested materials in the large intestine.
這意味著膳食纖維含量愈少，物質在大腸內停留的時間就愈長。
This means that the less dietary fibre in the diet, the longer the materials stay in the large intestine.
大腸的主要功能是從未能消化的物質中重吸收水分。
The main function of the large intestine is to reabsorb water from undigested materials.
滯留時間愈長，大腸吸收的水分就愈多，從而導致排出的糞便變得較硬。
The longer the retention time, the more water is absorbed by the large intestine, resulting in harder faeces being excreted.
📌 考試提醒
膳食纖維能增加糞便的體積並刺激腸道蠕動，縮短糞便在腸道的停留時間，防止便秘。
Dietary fibre adds bulk to the faeces and stimulates intestinal peristalsis, shortening the retention time of faeces in the intestine and preventing constipation.
常見錯誤：未能將圖表中「滯留時間長短」準確聯繫到「水分重吸收量」的生理機制上。
Common trap: Failing to accurately link the ""length of retention time"" in the graph to the physiological mechanism of the ""amount of water reabsorption"".",
1826,"📌 參考答案
A. 葡萄糖 → 乳酸
A. Glucose → Lactic acid
📌 詳細解釋
在進行劇烈運動時，人體骨骼肌對氧氣的需求量遠超血液循環所能提供的供應量。
During vigorous exercise, the oxygen demand of human skeletal muscles far exceeds the supply provided by blood circulation.
為了迅速獲得額外的能量（ATP），肌肉細胞會進行無氧呼吸。
To quickly obtain additional energy (ATP), muscle cells undergo anaerobic respiration.
在此過程中，葡萄糖會被不完全分解，轉化為乳酸。
In this process, glucose is incompletely broken down and converted into lactic acid.
無氧呼吸不需要氧氣參與，亦不會像有氧呼吸般產生二氧化碳和水。
Anaerobic respiration does not require oxygen and does not produce carbon dioxide and water like aerobic respiration does.
📌 考試提醒
動物細胞在缺氧情況下的無氧呼吸產物是乳酸；而酵母菌等微生物的無氧呼吸產物則是乙醇和二氧化碳。
The product of anaerobic respiration in animal cells under anaerobic conditions is lactic acid; whereas the products of anaerobic respiration in microorganisms like yeast are ethanol and carbon dioxide.
常見錯誤：將植物或酵母菌的無氧呼吸方程式與人體肌肉細胞的反應混淆。
Common trap: Confusing the anaerobic respiration equation of plants or yeast with the reaction in human muscle cells.",
1827,"📌 參考答案
B. 的作用是專一的。
B. its action is specific.
📌 詳細解釋
「鎖鑰」模型中，酶的活性部位形狀如同鎖，只有特定形狀的受質（鑰匙）才能與之結合。
In the ""lock-and-key"" model, the shape of the enzyme's active site acts like a lock, and only a substrate with a specific shape (the key) can bind to it.
這模型完美地解釋了酶與受質之間的專一配對關係，即酶的作用是專一的。
This model perfectly explains the specific pairing between an enzyme and its substrate, meaning the action of the enzyme is specific.
雖然酶是生物催化劑及蛋白質，且通常只需要少量，但這些特徵並非由「鎖鑰」模型所解釋。
Although enzymes are biological catalysts and proteins, and are usually needed in small amounts, these characteristics are not explained by the ""lock-and-key"" model.
📌 考試提醒
「鎖鑰」模型主要用來解釋酶活性的專一性，因為活性部位的形狀是固定且具特異性的。
The ""lock-and-key"" model is mainly used to explain the specificity of enzyme activity, as the shape of the active site is fixed and specific.
常見錯誤：考生將酶的所有物理及化學性質（如受溫度影響）均錯誤歸因於「鎖鑰」模型。
Common trap: Candidates mistakenly attribute all physical and chemical properties of enzymes (such as being affected by temperature) to the ""lock-and-key"" model.",
1828,"📌 參考答案
A. 生物如何貯存遺傳密碼。
A. how organisms store their genetic code.
📌 詳細解釋
華生和克拉克提出的 DNA 雙螺旋模型，展示了 DNA 分子由兩條多核苷酸鏈反向平行組成。
The DNA double helix model proposed by Watson and Crick shows that the DNA molecule is composed of two anti-parallel polynucleotide chains.
模型解釋了四種核鹼基（腺嘌呤、胸腺嘧啶、胞嘧啶和鳥嘌呤）如何透過互補鹼基配對，緊密而簡單地排列在雙螺旋內部。
The model explains how the four nucleobases (adenine, thymine, cytosine, and guanine) are compactly and simply arranged inside the double helix through complementary base pairing.
這種獨特的鹼基序列正是生物貯存遺傳密碼的機制。
This unique sequence of bases is exactly the mechanism by which organisms store their genetic code.
雖然 DNA 與演化、蛋白質合成及遺傳傳遞有關，但雙螺旋結構模型最直接的貢獻是揭示遺傳密碼的物理儲存方式。
Although DNA is related to evolution, protein synthesis, and genetic transmission, the most direct contribution of the double helix structural model is revealing the physical storage method of the genetic code.
📌 考試提醒
DNA 雙螺旋結構模型成功解釋了遺傳信息如何利用四種核鹼基的排列序列來儲存。
The DNA double helix structural model successfully explains how genetic information is stored using the arrangement sequence of the four nucleobases.
常見錯誤：學生常將較後期的分子生物學發現（如細胞如何指令蛋白質合成）混淆為華生和克拉克提出雙螺旋模型當時的主要目的。
Common trap: Students often confuse later molecular biology discoveries (such as how cells direct protein synthesis) with the primary purpose of Watson and Crick proposing the double helix model at that time.",
1829,"📌 參考答案
D. 二氧化碳
D. Carbon dioxide
📌 詳細解釋
生物量是指生物體內有機物質的乾質量。
Biomass refers to the dry mass of organic matter within an organism.
植物透過光合作用，將大氣中的二氧化碳轉化為碳水化合物（如葡萄糖和澱粉）。
Plants convert atmospheric carbon dioxide into carbohydrates (such as glucose and starch) through photosynthesis.
這些有機物質成為植物結構及能量儲備的基礎，因此二氧化碳對植物生物量的增加有最大貢獻。
These organic substances become the foundation of plant structures and energy reserves, so carbon dioxide contributes the most to the increase in plant biomass.
水主要提供還原力所需的氫，礦物質佔比極少，而氧氣則是代謝副產物，對生物量增加貢獻甚微。
Water mainly provides the hydrogen needed for reducing power, minerals account for a very small proportion, and oxygen is a metabolic byproduct, contributing very little to the increase in biomass.
📌 考試提醒
植物的乾重（生物量）主要來自於光合作用中固定的碳元素。
The dry weight (biomass) of a plant mainly comes from the carbon elements fixed during photosynthesis.
常見錯誤：學生直覺以為植物主要從泥土吸收水分和礦物質來「長大」，忽略了碳水化合物才是生物量的主要構成成分。
Common trap: Students intuitively think that plants mainly absorb water and minerals from the soil to ""grow"", ignoring that carbohydrates are the main constituent of biomass.",
1830,"📌 參考答案
B. 蒸騰作用所流失的水分引致。
B. water lost by transpiration.
📌 詳細解釋
在密不透氣的鐘形罩內，化學品 X 吸收水汽後會令其質量增加。
In the airtight bell jar, chemical X absorbs water vapor, which increases its mass.
實驗裝置中夾著盆栽植物的葉片，而葉片向密閉空氣中釋放水分的唯一主要途徑是蒸騰作用。
The experimental setup encloses the leaf of a potted plant, and the only major pathway for the leaf to release water into the confined air is transpiration.
雖然植物也會進行呼吸作用產生水分，但其數量極微，不足以導致化學品 X 出現明顯的質量增加。
Although the plant also undergoes respiration to produce water, the amount is extremely small and insufficient to cause a significant increase in the mass of chemical X.
光合作用會消耗水分，而非釋放水分。
Photosynthesis consumes water, rather than releasing it.
📌 考試提醒
測量密閉空間內水汽的增加量是估算植物蒸騰速率的常用方法。
Measuring the increase in water vapor in a closed space is a common method for estimating the transpiration rate of a plant.
常見錯誤：未有考慮各個生理過程（蒸騰作用、呼吸作用、光合作用）對水分變化的實際影響規模。
Common trap: Failing to consider the actual scale of impact of various physiological processes (transpiration, respiration, photosynthesis) on changes in water content.",
1831,"📌 參考答案
B. 葉片下表皮的氣孔較上表皮為多。
B. The lower epidermis of the leaf has more stomata than the upper epidermis.
📌 詳細解釋
實驗數據顯示，下面鐘形罩內的化學品 X 質量增加了 0.13 g，而上面鐘形罩增加了 0.09 g。
The experimental data show that the mass of chemical X in the lower bell jar increased by 0.13 g, while that in the upper bell jar increased by 0.09 g.
這反映葉片下表皮釋放的水汽較多，即下表皮的蒸騰速率較上表皮快。
This reflects that the lower epidermis of the leaf released more water vapor, meaning the transpiration rate of the lower epidermis is faster than that of the upper epidermis.
由於水汽主要透過氣孔離開葉片，因此可推斷下表皮擁有較多氣孔。
Since water vapor mainly leaves the leaf through stomata, it can be deduced that the lower epidermis has more stomata.
實驗並沒有量度根部的水分吸收，也無法直接由水分流失量推算出呼吸作用和光合作用的速率，因此 A、C 和 D 皆為錯誤結論。
The experiment did not measure water absorption by the roots, nor could the rates of respiration and photosynthesis be directly calculated from water loss, so A, C, and D are all incorrect conclusions.
📌 考試提醒
雙子葉植物的葉片通常下表皮含有較多氣孔，導致下表皮的蒸騰速率高於上表皮。
The leaves of dicotyledonous plants usually have more stomata on the lower epidermis, resulting in a higher transpiration rate on the lower epidermis than on the upper epidermis.
常見錯誤：過度解讀實驗結果，試圖將蒸騰速率直接等同於光合作用或呼吸作用的速率。
Common trap: Over-interpreting the experimental results, attempting to directly equate the transpiration rate with the rate of photosynthesis or respiration.",
1832,"📌 參考答案
C. 牠們有不同的生態位。
C. They have different ecological niches.
📌 詳細解釋
生態位是指生物在生態系統中扮演的角色，包括其攝食習慣、活動時間和所佔據的微生境。
An ecological niche refers to the role an organism plays in an ecosystem, including its feeding habits, active time, and occupied microhabitat.
如果生物 P 和 Q 處於相同的生態位或都是頂級捕食者，牠們必然會因競爭資源而無法同時持續增加數量。
If organisms P and Q were in the same ecological niche or were both top predators, they would inevitably compete for resources and could not continuously increase in number simultaneously.
兩者種群數目能同時不斷增加，意味著牠們的資源需求或生活方式存在差異，避免了直接競爭。
The continuous simultaneous increase in both population sizes implies that there are differences in their resource requirements or lifestyles, avoiding direct competition.
僅僅是異養生物或具有不同捕食者，不足以解釋牠們為何能和平共存且數量雙雙上升。
Merely being heterotrophs or having different predators is insufficient to explain why they can peacefully coexist with both populations rising.
📌 考試提醒
在同一生境中，具有相同生態位的物種會發生激烈的種間競爭，最終導致其中一方被淘汰（競爭排斥原理）。
In the same habitat, species with the same ecological niche will experience intense interspecific competition, eventually leading to the elimination of one species (competitive exclusion principle).
常見錯誤：忽略了「種群數目不斷增加」的先決條件是生境中有充足的非競爭性資源。
Common trap: Ignoring that the prerequisite for ""continuous increase in population size"" is the availability of sufficient non-competitive resources in the habitat.",
1833,"📌 參考答案
B. 原生演替總是始於不毛之地，次生演替則不是。
B. Primary succession always starts on barren land, whereas secondary succession does not.
📌 詳細解釋
原生演替發生在從未有生物定居或沒有土壤的不毛之地（如裸岩或火山熔岩）。
Primary succession occurs on barren land where no organisms have ever settled or where there is no soil (such as bare rock or volcanic lava).
次生演替則發生在曾經有生物居住，但植被被破壞卻仍保留了土壤的地區（如火災後的林地）。
Secondary succession occurs in areas that were previously inhabited by organisms but where vegetation has been destroyed while soil remains (such as woodland after a fire).
演替的最終階段是頂級群落，原生演替和次生演替最終都能達致頂級群落。
The final stage of succession is the climax community, and both primary and secondary succession can eventually reach it.
原生演替之後不一定會發生次生演替，除非該環境再次遭遇災難性破壞。
Primary succession is not necessarily followed by secondary succession unless the environment suffers catastrophic destruction again.
📌 考試提醒
原生演替與次生演替的最大分別在於演替發生初期的基質是否已有土壤和有機物質。
The biggest difference between primary and secondary succession lies in whether the substrate has soil and organic matter at the beginning of the succession.
常見錯誤：誤以為只有次生演替才能達到穩定的頂級群落，或把先鋒群落當作演替的終點。
Common trap: Mistakenly believing that only secondary succession can reach a stable climax community, or treating the pioneer community as the endpoint of succession.",
1834,"📌 參考答案
A. 只有(1)和(2)
A. (1) and (2) only
📌 詳細解釋
心臟的泵壓是提供推動血液循環的主要動力，因此(1)正確。
The pumping action of the heart provides the main driving force for blood circulation, so (1) is correct.
大動脈血管壁具有極高的彈性，心室收縮時擴張，舒張時產生彈性反衝，從而推動血液不斷向前流動，因此(2)正確。
The wall of the aorta is highly elastic, expanding during ventricular contraction and producing an elastic recoil during relaxation, thereby pushing blood to flow continuously forward, so (2) is correct.
大動脈壁的肌肉層主要是平滑肌，其作用並非主動收縮以推進血流，而是調節管腔大小，故(3)錯誤。
The muscle layer of the aortic wall is mainly smooth muscle, and its function is not to actively contract to propel blood flow, but to regulate the lumen size, making (3) incorrect.
📌 考試提醒
大動脈血流的連續性主要依賴心室的強大泵血力及大動脈壁的彈性反衝。
The continuous flow of blood in the aorta relies mainly on the powerful pumping force of the ventricles and the elastic recoil of the aortic wall.
常見錯誤：學生常誤以為動脈壁內的平滑肌會像腸道蠕動般收縮來主動推動血液。
Common trap: Students often mistakenly think that the smooth muscle in the arterial wall contracts like intestinal peristalsis to actively propel blood.",
1835,"📌 參考答案
D. 它泵出血液至肺動脈。
D. It pumps blood into the pulmonary artery.
📌 詳細解釋
照片中空腔 X 的肌肉壁相對另一側的心室明顯較薄。
In the photograph, the muscular wall of cavity X is noticeably thinner than the ventricle on the other side.
左心室負責將血液泵至全身，需要承受較高壓力，因此肌肉層較厚；而右心室只需將血液泵至鄰近的肺部，肌肉層較薄。
The left ventricle is responsible for pumping blood to the whole body and needs to withstand higher pressure, so its muscle layer is thicker; while the right ventricle only needs to pump blood to the nearby lungs, resulting in a thinner muscle layer.
因此可判斷空腔 X 為右心室，其功能是將缺氧血泵出至肺動脈。
Therefore, cavity X can be identified as the right ventricle, whose function is to pump deoxygenated blood into the pulmonary artery.
接收肺靜脈血液和泵血至大動脈的是左邊心臟的職責，而接收大靜脈血液的是右心房。
Receiving blood from the pulmonary vein and pumping blood to the aorta are the duties of the left side of the heart, while receiving blood from the vena cava is the duty of the right atrium.
📌 考試提醒
解剖心臟結構時，可透過比較兩側心室壁的厚度來準確分辨左心室（厚）與右心室（薄）。
When dissecting the structure of the heart, the left ventricle (thick) and right ventricle (thin) can be accurately distinguished by comparing the thickness of the ventricular walls on both sides.
常見錯誤：未能把心室肌肉壁的厚度與其泵血距離及血壓需求建立邏輯聯繫。
Common trap: Failing to establish a logical connection between the thickness of the ventricular muscle wall and its pumping distance and blood pressure requirements.",
1836,"📌 參考答案
C. 在人體內，水分由組織液流至微血管
C. In the human body, water flows from tissue fluid to capillaries
📌 詳細解釋
微血管內含有無法穿透血管壁的血漿蛋白，這降低了血液的水勢，使其低於周圍組織液的水勢。
Capillaries contain plasma proteins that cannot pass through the vessel wall, which lowers the water potential of the blood, making it lower than that of the surrounding tissue fluid.
由於存在水勢梯度，水分會透過滲透作用由組織液淨移動進入微血管的靜脈端。
Due to the presence of a water potential gradient, water moves by net movement from the tissue fluid into the venule end of the capillary through osmosis.
水分沿著植物木質部流動是由物理性的蒸騰拉力驅動，而非滲透作用。
The flow of water along the plant's xylem is driven by the physical transpiration pull, rather than osmosis.
水汽經氣孔離開屬於氣體的擴散作用；組織液進入淋巴微細管則是由液體靜水壓推動。
Water vapor leaving through stomata is gas diffusion; tissue fluid entering lymph capillaries is driven by hydrostatic pressure of the fluid.
📌 考試提醒
滲透作用必須涉及水分子沿水勢梯度穿過差異透性膜的淨移動。
Osmosis must involve the net movement of water molecules down a water potential gradient across a differentially permeable membrane.
常見錯誤：將所有與水分移動相關的生理過程（如蒸騰拉力、淋巴形成）都錯誤歸類為滲透作用。
Common trap: Mistakenly classifying all physiological processes related to water movement (e.g., transpiration pull, lymph formation) as osmosis.",
18p101,"參考答案 / Reference Answer
(a)
• B (1)
• C 和 D (1)

(b)
(i) 振動 (1)
(ii) 耳蝸 (1)
(iii) 內淋巴 (1)
(iv) 聽神經 (1)

詳細解釋 / Detailed Explanation
(a)

B: 感覺毛細胞受損 (Hair cells are damaged).
這是因為耳朵的毛細胞負責接收聲音信息。
This is because the hair cells in the ear are responsible for receiving sound information.

C 和 D: 不能傳導聲音 (Cannot transmit sound).
耳朵中某些結構的損壞會導致聲音無法傳遞到大腦。
Damage to certain structures in the ear prevents sound from being transmitted to the brain.

(b)

(i) 振動 (Vibration):
聲音的波動使耳膜和小聽骨振動。
The sound waves cause the eardrum and ossicles to vibrate.

(ii) 耳蜗 (Cochlea):
振動通過耳蜗傳遞，轉換成神經信號。
The vibrations are transmitted through the cochlea, converting them into neural signals.

(iii) 內淋巴 (Endolymph):
內淋巴在耳蜗中運作，幫助傳遞聲音信息。
The endolymph works in the cochlea to help transmit sound information.

(iv) 聽神經 (Auditory Nerve):
聽神經將聲音信息傳遞到大腦以進行處理。
The auditory nerve transmits sound information to the brain for processing.

考試提醒 / Exam Reminder
確保掌握耳朵的解剖結構及其功能。
Make sure to understand the anatomical structures of the ear and their functions.

注意每個部件在聲音傳導中的角色。
Pay attention to the role of each component in sound transmission.

熟悉常見的聽力損失原因及其影響。
Familiarize yourself with common causes of hearing loss and their effects.",
18p102,"📌 參考答案
(a) 液泡
(a) Vacuole

(b)
液泡縮小。
The vacuole becomes smaller.

細胞膜與細胞壁分離，亦即發生質壁分離。
The cell membrane separates from the cell wall, showing plasmolysis.

(c)
蔗糖溶液的水勢低於細胞內的水勢。
The water potential of the sucrose solution is lower than that inside the cell.

水分經滲透作用由細胞內流向滲透液，使液泡縮小並導致質壁分離。
Water moves by osmosis from the cell sap to the external sucrose solution, causing the vacuole to shrink and the cytoplasm to pull away from the cell wall.

📌 詳細解釋
液泡是植物細胞中儲存水分、離子及代謝物的重要結構。
The vacuole is an essential structure in plant cells that stores water, ions, and metabolic substances.

當植物細胞置於高濃度蔗糖溶液中，外界水勢較低。
When a plant cell is placed in a concentrated sucrose solution, the surrounding water potential is lower.

水分子會由液泡透過細胞膜滲透出去，使細胞體積減小。
Water molecules move out of the vacuole through the cell membrane, reducing cell volume.

液泡因此收縮，細胞膜向內拉離細胞壁，形成質壁分離現象。
As a result, the vacuole shrinks, and the cell membrane pulls away from the cell wall, a process known as plasmolysis.

葉綠體常被推向細胞中央，是觀察質壁分離的重要證據。
Chloroplasts are often seen clumped in the center of the cell, a sign of plasmolysis.

📌 考試提醒
此題常考「滲透作用」與「質壁分離」概念。
This question commonly tests understanding of “osmosis” and “plasmolysis.”

答題時要明確指出水分由內流出及液泡縮小。
Be explicit that water moves out of the cell and the vacuole shrinks.

「水勢差」是滲透方向的關鍵術語，須準確使用。
The term “water potential difference” is key to explaining osmosis and should be used precisely.",
18p103,"(a)
(i) P（柵欄狀葉肉細胞 / Palisade mesophyll）

(ii)
排列緊密並位於上層，直接朝向陽光。
Closely packed and located beneath the upper epidermis, directly facing sunlight.
以吸收最多陽光進行光合作用。
To absorb maximum sunlight for photosynthesis.

(b)
當葉子垂直而生，葉子的兩側均能接收陽光。
When the leaf is vertically oriented, both sides can receive sunlight.
因此，光合組織均勻分佈在葉子的兩側。
Therefore, photosynthetic tissues are evenly distributed on both sides of the leaf.
當日間太陽位置或照射方向改變時，均可有效地進行光合作用。
As the position or direction of sunlight changes during the day, photosynthesis can still proceed efficiently on both sides.",
18p104,"📘 參考答案
(a)
低入息國家
Low-income countries

(b)
任選兩項：
Any two of the following:

惡劣的公共衛生或個人衛生情況，使傳染病容易散播。
Poor public or personal hygiene allows infectious diseases to spread easily.
缺乏完善的保健系統，不能為病人提供緊急或適當的醫療服務。
Inadequate healthcare systems fail to provide emergency or proper medical care.
人民收入低，無法負擔治療感染的醫療費用。
Low income prevents people from affording medical treatment for infections.

(c)

進食高熱量或高脂肪食物，或缺乏運動。
Consuming high-calorie or high-fat diets, or lack of exercise.
導致膽固醇或脂肪在冠狀動脈壁內積聚，形成斑塊。
Causes cholesterol or fat to accumulate in coronary artery walls, forming plaques.
引致血管腔變窄、阻塞血流至心臟。
Leads to narrowing or blockage of arteries, reducing blood flow to the heart.
心肌缺乏足夠氧氣和營養，最終引致冠心病。
The heart muscle receives insufficient oxygen and nutrients, resulting in coronary heart disease.",
18p105,"""📌 參考答案

(a)

<img src='images/18p105.png' />

男性的性染色體由一個 X 染色體和一個 Y 染色體組成。
The sex chromosomes of a male consist of one X chromosome and one Y chromosome.

X 染色體比 Y 染色體大得多，因此容易辨認。
The X chromosome is much larger than the Y chromosome, making it easily identifiable.

(b)
該染色體組型屬於體細胞。
This karyotype belongs to a somatic cell.

由於顯示出 23 對同源染色體，總共有 46 條染色體。
This is because 23 pairs of homologous chromosomes are shown, giving a total of 46 chromosomes.

體細胞具有兩套染色體，因此是二倍體；而配子只有一套染色體。
Somatic cells contain two sets of chromosomes and are diploid, whereas gametes contain only one set.

(c)
母親的性染色體是 XX，而父親的是 XY。
The mother has XX sex chromosomes, while the father has XY chromosomes.

卵子只能含有 X 染色體，而精子則可含有 X 或 Y 染色體。
The egg can only carry an X chromosome, while sperm may carry either an X or a Y chromosome.

在受精過程中，後代的性別取決於精子攜帶的性染色體。
During fertilisation, the sex of the offspring depends on which type of sperm fertilises the egg.

若卵子與帶有 X 染色體的精子結合，便形成女性；
If the egg is fertilised by a sperm carrying an X chromosome, a female is formed;

若精子帶有 Y 染色體，便形成男性。
If the sperm carries a Y chromosome, a male is formed.

因此，決定後代性別的是父親，而非母親。
Hence, it is the father, not the mother, who determines the sex of the offspring."",""""",
18p106,"📌 參考答案

(a)
O 型血的紅血球不含有 A 或 B 抗原。
The red blood cells of blood group O contain neither antigen A nor B.

因此，O 型血可輸給任何 ABO 血型的病人，是「萬用捐血者」。
Therefore, blood group O can be transfused to patients of any ABO blood group and is known as the “universal donor.”

當其他血型的庫存不足時，O 型血可用來輸給不同血型的病人。
When the blood supply of other types is insufficient, type O blood can be used for transfusion to patients of other blood groups.

在香港，O 型血的比例最高，因此需求量最大。
In Hong Kong, blood group O is the most common, so its demand is the greatest.

(b)
男性比女性可更頻密地捐血，而女性的捐血間隔時間需較長。
Male donors can donate blood more frequently than female donors, while females require a longer interval between donations.

女性每月經期會定期失血，造成紅血球的自然流失。
Females experience regular blood loss every month due to menstruation, causing natural red blood cell depletion.

男性沒有這種情況，並且捐血後造血細胞的補償速度較快。
Males do not experience this and can compensate for blood cell loss more quickly after donation.

因此，女性一年建議捐血次數較少，而男性的可較多。
Therefore, the recommended annual donation frequency is lower for females and higher for males.
",
18p107,"""📌 參考答案

(a)
含碳水化合物的食物在消化後被分解成葡萄糖。
Foods containing carbohydrates are digested to form glucose.

葡萄糖經由小腸吸收並進入血液，使血液中葡萄糖水平上升。
Glucose is absorbed from the small intestine into the bloodstream, raising the blood glucose level.

(b)(i)
胰島素。
Insulin.

(b)(ii)
胰島素刺激身體細胞和肝臟細胞由血液中吸收葡萄糖。
Insulin stimulates body cells and liver cells to absorb glucose from the blood.

增加身體細胞利用葡萄糖進行呼吸作用，產生能量。
It increases the rate of cellular respiration in body cells to release energy.

促進肝臟和肌肉細胞把葡萄糖轉化為糖原以貯存。
It promotes the conversion of glucose into glycogen in liver and muscle cells for storage.

(b)(iii)

<img src='images/18p107.png' />

胰島素濃度會在餐後上升，然後隨血糖水平下降而逐漸回復基礎水平。
After a meal, the insulin level rises, then gradually falls back to its basal level as blood glucose decreases.

由於胰島素的分泌反應稍有延遲，其峰值比血糖上升稍後出現。
The peak of insulin secretion appears slightly later than the rise in blood glucose due to a time lag in response.

(c)
低 GI 食物令血液中葡萄糖水平變化較小、較穩定。
Low-GI food causes smaller and steadier fluctuations in blood glucose level.

它能降低血糖過高或尿液出現葡萄糖的風險。
It reduces the chance of excessively high blood glucose or glucose appearing in urine.

因此糖尿病患者宜進食低 GI 食物以助控制血糖水平。
Therefore, diabetic patients are advised to consume low-GI food to help control blood glucose levels."",""""
",
18p108,"📌 參考答案

(a)
甘油三酯（脂肪） ⟶ 甘油 + 脂肪酸（在脂肪酶作用下）
Triglyceride (fat) → Glycerol + Fatty acids (by lipase)

(b)(i)
自變量：牛奶的種類（全脂奶或半脫脂奶）
Type of milk (full-fat vs half-fat milk)

(b)(ii)
試管 A 的混合物由粉紅色變為白色。
試管 B 的混合物由粉紅色變為淺粉紅色。
Colour in Tube A changed from pink to white; in Tube B changed from pink to pale pink.

(b)(iii)
試管 A。
Tube A.

試管 A 由粉紅色轉為白色，顯示混合物變為酸性；而試管 B 仍為淺粉紅色，顯示混合物仍略呈鹼性。
Tube A turned white, showing the mixture became acidic; Tube B remained pale pink, showing it stayed slightly alkaline.

全脂鮮奶含較多脂肪，經脂肪酶分解後產生較多脂肪酸，使混合物酸度增加。
Full‑fat milk contains more fat and produces more fatty acids upon digestion, lowering the pH further.

因此試管 A 的混合物酸性較明顯，說明試管 A 含全脂鮮奶。
Hence, Tube A contained full‑fat fresh milk.",
18p109,"📘 參考答案

(a)
線粒體 DNA 的基因突變會改變基因的核苷酸序列／三聯體密碼。
A gene mutation in mitochondrial DNA alters the nucleotide / triplet code sequence of the gene.

突變後產生的多肽其胺基酸排列不同，使酶的活性部位形狀或三維結構改變，導致酶功能喪失。
The polypeptide produced has a different amino acid sequence, forming an enzyme with an altered active site / 3D conformation, causing it to lose its function.

由於氧化磷酸化中所需的酶失效，電子傳遞鏈無法正常進行，因此氧化磷酸化過程受阻。
As a result, the enzymes required for oxidative phosphorylation fail to function, disrupting the electron transport chain.

(b)
氧化磷酸化主要產生：
The main products of oxidative phosphorylation are:

NAD 和 FAD 的再生 — 它們是糖酵解與克雷伯循環的重要氫載體。
Regeneration of NAD and FAD — important hydrogen carriers in glycolysis and the Krebs cycle.

ATP — 為細胞提供主要能量來源，用以進行各種生命活動。
ATP — the main energy source that supports cellular activities and reactions. 

(c)

(i)
在受精過程中，只有含細胞核的精子頭部會進入卵子，而含有線粒體的精子中段並不會進入卵子內，而是留在卵子外。
During fertilization, only the head of the sperm containing the nucleus enters the egg, whereas the mid‑piece containing mitochondria remains outside.

因此，精子不會為合子提供任何線粒體。
Therefore, the sperm does not contribute any mitochondria to the zygote.

(ii)
細胞核： 來自小美及她的丈夫。
Nucleus: from Lily (the mother) and her husband.

線粒體： 主要來自捐贈者。
Mitochondria: mainly from the donor.",
18p110,"📌 參考答案 Reference Answer

(a)

在後天獲得的性狀可遺傳給下一代。
Characters developed during life can be passed on to offspring.
✅ 拉馬克 Lamarck

經過數代後，生物變得更加適應環境。
Organisms become more adaptive to the environment over generations.
✅ 拉馬克 Lamarck
✅ 達爾文 Darwin

(b)

長頸鹿族群內存在遺傳變異。
Genetic variation existed within the giraffe population.

部分長頸鹿個體有長頸特徵，另一部分則具短頸特徵。
Some individuals had longer necks, while others had shorter ones.

長頸鹿能夠伸長頸進食高處葉子，因此能獲得更多食物。
Giraffes with longer necks could reach leaves higher up and obtain more food.

長頸鹿因而具更大生存與繁殖機會。
They therefore had a greater chance to survive and reproduce.

短頸鹿個體的存活率較低，逐漸被淘汰。
Those with shorter necks survived less successfully and were gradually eliminated.

經過多代後，長頸特徵在種群中的比例逐步提高。
Over generations, the proportion of long-necked giraffes in the population increased.

(c)

科學受社會和文化因素影響。
Science is influenced by social and cultural factors.",
